Soru,Cevap
Aşağıdakilerden hangisi birinci kuşak(klasik) haklar arasında yer almaz?,Çalışma hakkı ikinci kuşak haklardan biridir.
"I. Bilgilendirme yükümlülüğü
II. İnsan üzerinde deney
III. Bulguların gerçeği yansıtmaması
IV. Verilerin maniple edilmesi
V. İnsan klonlama
Aşağıdakilerden hangisinde  tıp etiğinin belli başlı sorunları bir arada verilmiştir?","Bugün genellikle kabul edildiği üzere tıp etiğinin belli başlı sorunları arasında şu başlıklar yer alır:
• kürtaj
• ötanazi
• bitkisel yaşam
• genetik müdahale
• insan üzerinde deney
• insan klonlama
• dürtülerin kontrol edilmesi amacıyla beyin operasyonları gerçekleştirme
• organ nakli
• bilgilendirme yükümlülüğü
• hastanın özgür iradesini kısıtlama"
"“Mesleki eylemin ne zaman ve hangi koşullarda haklı, doğru ve yerinde olduğu' ile ilgili ilke ve kuralları ifade eden kavram aşağıdakilerden hangisidir?","Meslek ahlâkı (etiği), “mesleki eylemin ne zaman ve hangi koşullarda haklı , doğru ve yerinde olduğu' ile ilgili ilke ve kuralları ifade eder."
Aşağıdakilerden hangisi ayrımcılık yasağının güvencelerinden birisi değildir?,"Ayrımcılık yasağı, insanların cinsiyet, ırk, renk, dil, din, siyasi veya başka görüş, ulusal veya toplumsal köken, bir ulusal azınlığa mensup olma, mülkiyet, doğum veya diğer statüler gibi herhangi bir temelde ayrımcılığa maruz kalmaksızın insan haklarına sahip olmalarının ve insan haklarından yararlanmalarının güvencesini oluşturur. Doğru cevap D seçeneğidir."
Çağdaş insanın gündelik yaşamını doğrudan etkileyen birtakım ahlâki sorunları ele almada ve toplumsal ve bireysel düzeyde karşılaşılan somut ahlâki durumlarda sergilenecek tavrın ve bu tavra uygun gerçekleştirilecek eylem tarzının tespitinde karşımıza çıkan etik yaklaşım aşağıdakilerden hangisidir?,"Etik alanında gerçekleşen bu hengâmede öte yandan da farklı bir yaklaşımın ortaya çıktığı görülmektedir. Klasik normatif etik teorilerinin ve modern yorumlarının temel iddialarının, çağdaş insanın gündelik yaşamını doğrudan etkileyen birtakım ahlâki sorunları ele almada ve toplumsal ve bireysel düzeyde karşılaşılan somut ahlâki durumlarda sergilenecek tavrın ve bu tavra uygun gerçekleştirilecek eylem tarzının tespitinde kullanılması şeklinde karşımıza çıkan bu yeni etik yaklaşıma pratik etik denilmektedir."
"Bilincin kendi düşünme eylemi üzerine düşünmesi, hem ontolojik hem de epistemolojik olarak ne anlama gelmektedir?","Bilincin kendi düşünme eylemi üzerine düşünmesi, hem ontolojik hem de epistemolojik olarak refleksiyon olarak adlandırılmaktadır."
İnsan haklarının uluslararası düzeyde korunmasına yönelik adımların ilki ve en önemlisi olarak kabul edilen İnsan Hakları Evrensel Bildirisi hangi tarihte yayınlanmıştır?,"BM’nin 10 Aralık 1948’de kabul ettiği BM İnsan Hakları Evrensel Bildirisi, insan haklarının uluslararası düzeyde korunmasına yönelik adımların ilki ve en önemlisidir."
Kant'ın ahlak felsefesinde bir amaç tarafından belirlenmiş buyruklara ne ad verilir?,"Kant'ın ahlak felsefesinde buyruklar da iki türlüdür. Bunlardan ilki yararlı eylemi isteyen buyruklar, yani koşullu (hipotetik) buyruklardır. Zira bunlar bir amaç tarafından belirlenmiştir. Diğeri ise iyi eylemi isteyen buyruklar, yani koşulsuz (kategorik) buyruklardır. Zira bunlar herhangi bir amaçtan bağımsız, hangi durumda olursa olsun geçerli olan buyruklardır. Doğru yanıt A seçeneğidir.  "
İnsan hakları ile ilgili verilen bilgilerden hangisi yanlıştır?,"Bir insan hakkının “hak” sayılabilmesi için anayasada, kanunlarda yer alması; o kanunun ya da anayasanın yürürlükte olması aranmamasıdır. İnsan hakları, yürürlükteki hukuktan bağımsızdır, yani düzenlenmese de olur. İnsan hakları yürürlükteki hukukun üstündedir, yani bir yasanın insan haklarına uygun olması gerekir."
"Aşağıdaki hangi neden, XX. yüzyılın ilk yarısında, klasik normatif teorilerin tekrardan gündeme gelmesine yol açmıştır?","XX. yüzyılın ilk yarısında etik alanında hakim olan meta-etik teorilerinin gündelik yaşamda karşılaşılan etik sorunları çözmede yetersiz kalması, klasik normatif teorilerin tekrardan gündeme gelmesine yol açmıştır. Normatif etik teorilerine duyulan ihtiyacın temelinde evrensel geçerliliğe sahip ortak birtakım normlara yönelik arayış yer alır. Bu arayış en açık ifadesini meslek etiği alanındaki çalışmaların her geçen daha da artmasında gösterir."
Hangisi birinci kuşak haklardan biridir ?,"Birinci Kuşak Haklar (Klasik Haklar) , Yaşam hakkı ve kişi dokunulmazlığı , Kişi özgürlüğü ve güvenliği , Düşünce ve düşünceyi açıklama özgürlüğü , İnanç ve ibadet özgürlüğü , Konut dokunulmazlığı , Mülkiyet hakkı , Eşitlik hakkı , Seçme ve seçilme hakkı , Kamu hizmetlerine girme hakkı , Tarafsız bir yargıç önünde yargılanma hakkı, başka bir deyimle adil yargılanma hakkı  olarak sıralanabilir."
"Günümüzde ahlâk felsefesi yapmanın mümkün olmadığını ve öncelikle, ‘niyet’ veya ‘ödev’ gibi ahlâk felsefesinin temel kavramlarını izah edecek bir felsefi psikoloji geliştirilmesini savunan felsefeci aşağıdakilerden kimdir?","Elisabeth Anscombe'a göre günümüzde ahlâk felsefesi yapmak mümkün değildir. Çünkü öncelikle, ‘niyet’ veya ‘ödev’ gibi ahlâk felsefesinin temel kavramlarını izah edecek bir felsefi psikoloji geliştirilmelidir. Ancak ondan sonra felsefeciler ahlâk felsefesine yönelebilirler. Doğru cevap B'dir."
"Etik alanına analitik yaklaşımı sokan ve analitik veya meta-etik yaklaşımın da başlatıcısı kabul edilen, sezgici etik teorilerinin en önemli temsilcisi kimdir?","Etik alanına analitik yaklaşımı sokan ve analitik veya meta-etik yaklaşımın da başlatıcısı kabul edilen G. E. Moore’dur. Doğru cevap ""A"" şıkkıdır."
"Soylulara ayrıcalık tanıyan ancak keyfi tutuklamanın önlenmesi, seyahat özgürlüğü gibi hakları içeren belge aşağıdakilerden hangisidir?","Magna Carta esasında soylulara ayrıcalık tanıyan bir berattır ancak keyfi tutuklamanın önlenmesi, seyahat özgürlüğü gibi hakları içermektedir. Tarihsel önemi belgesel öneminden büyüktür. Manga Carta ve benzeri diğer beratlar, belli sınıflara ayrıcalık tanısa da merkezi iktidarın sınırlandırılması yönünde tarihsel duraklardır. Doğru cevap D seçeneğidir."
Eşya ve hizmetlerin değiş tokuşunda geçerli adalet türü aşağıdakilerden hangisidir?,Denkleştirici adalet eşya ve hizmetlerin değiş tokuşunda geçerli adalettir.
Hazır bulunan toplumsal değerleri veya kuralları kabul etmeden bu değerleri sorgulama ve sonucunda verilen karara göre bu kurallara uyma veya uymama durumu aşağıdaki terimlerden hangisinin tanımıdır? ,Etik hazır bulunan toplumsal normları kabul veya uyma ile değil; sorgulayarak değerlendirme sonucu uyma ve gerekirse uymamayı seçme kararını içerir. 
"Ücret karşılığı gerçekleştirilen çalışma, ödemeli bir pozisyon ya da istihdama ne ad verilir?","Ücret karşılığı gerçekleştirilen çalışma, ödemeli bir pozisyon ya da istihdam iş olarak adlandırılır."
"Aşağıdakilerden hangisi, meslek ahlakı ile meslek etiği arasındaki farkı vurgular?","Meslek ahlâkı, belirli bir meslek mensubunun uyması gereken birtakım davranış standartlarıdır. Fakat bu standartlar, meslekten mesleğe değiştiği gibi toplumdan topluma da değişmektedir. Diğer bir ifadeyle meslek ahlâkının aslında toplumun, o meslek mensuplarından uymasını beklediği ilke veya kuralları işaret ettiği söylenebilir. Bu bağlamda eğer bir meslek mensubu, mesleğini kendisinden beklendiği şekilde icra etmiyorsa yani o meslek için kabul edilen ilke veya kurallara uymuyorsa meslek ahlâkından yoksun addedilir. Fakat her meslek türü için etik ilkelerden bahsetmek mümkün değildir. Buna karşılık her mesleğin, bir ahlâkı vardır."
Aşağıdakilerden hangisi mesleğin temel özelliklerinden biri değildir?,"Mesleklerin toplumca kabul edilmiş etik değerleri ve ilkeleri vardır: Meslek olarak kabul edilecek
bütün uğraş alanlarının kendine özgü değer ve etik ilkeleri vardır ve bu mesleğin üyeleri bu değer ve ilkeler doğrultusunda davranırlar."
"Antigone’den beri tragedyalar, sanat, edebiyat ve siyaset adalet arayışındadır. Bu cümledeki 'Antigone' neyi ifade etmektedir?","Antigone, bir Yunan tragedya kahramanıdır. Sofokles tarafından yazıya dökülmüştür. Antigone, Thebai’de erkek kardeşlerinin savaşını sonlandırmaya çalışmıştır. Kardeşlerinden birisi bu savaşta ölünce kral olan dayıları Kreon, Antigone’nin erkek kardeşi Polyneikes’in Thebai’ye ihanet ettiği gerekçesiyle cesedinin gömülmesine izin vermez. Antigone bu yasağa karşı gelir ve erkek kardeşini defneder. Antigone, kralın yasasından (pozitif yasa) daha üstün bir yasanın ölülerin gömülmesini emrettiğini söyleyerek Kreon’a karşı çıkmıştır."
"I. Dağıtıcı adalet
II. Şekli adalet
III. Kişisel adalet
IV. Maddi adalet
V. Siyasal adalet
Yukarıdaki adalet türlerinden hangileri Eski Yunan'da karşımıza çıkan ilk adalet kavramının tasnifini ifade etmektedir?",Eski Yunan’da karşımıza çıkan ilk adalet tasnifinde bir karakter özelliği olma anlamında bireysel veya kişisel adalet dediğimiz bir adalet ile devleti oluşturan sınıfların birbirine göre konumunun ve bunun soncunda ortaya çıkan düzenin bir özelliğini ifade eden toplumsal veya siyasal adalet şeklinde iki tür adalettir. Doğru cevap C'dir.
"I. Bir yönüyle insanın alet kullanımıyla ilgilidir. 
II. Araçsal akla indirgenebilir. 
III. İnsanın güzel-çirkin kategorileri ışığında birtakım eylemlerde bulunmasına yol açabilir. 
Pratik akıl ile ilgili olarak yukarıdakilerden hangisi veya hangileri doğrudur?","İnsanın belirli bir amaçı gerçekleştirmek için başvurduğu araçların üretilmesini ve kullanılmasını sağlayan pratik akıl, toplumsal işbölümü içerisinde üretime katılmaya ve birtakımtoplumsal ihtiyaçları karşılamaya yöneliktir. Burada insanın alet yapma özelliği karşımıza çıkar. Fakat pratik akıl araçsal akla indirgenemez. İnsanın iyi-kötü, güzel-çirkin kategorileri doğrultusunda eylemde bulunmasına yol açabilir. Doğru yanıt C seçeneğidir. "
Aşağıdakilerden hangisi meslek kavramının değişmesine etken olmuştur?,"Toplumsal yapının değişimine paralel şekilde meslek kavramı da değişir. Bu değişimde o toplumdaki işbölümünün niteliği belirleyicidir. Modern toplumlar için bu değişim, meslekler açısından çok büyük oranda bir çeşitlenme ve buna bağlı gerçekleşen uzmanlaşma (profesyonelleşme) yönünde olmuştur. Meslekler hem sayıca artmış hem de nitelikçe farklılaşmıştır. Bu nicel ve nitel değişimin temelinde sanayileşme ve teknolojik ilerleme yer alır."
"""İnsanlar işe koydukları gayret ya da verilen işi yaparken aldıkları risk ya da müşterilerine sağladıkları tatmin ölçüsünde ödüllendirilmelidirler."" anlayışına dayanan adalet ilkesi aşağıdakilerden hangisidir?","Hak ediş ilkesi insanların hak ettikleri şeyi almaları gerektiğini ifade eder. İnsanlar  işe koydukları gayret ya da verilen işi yaparken aldıkları risk ya da müşterilerine sağladıkları tatmin ölçüsünde ödüllendirilmelidirler. Özetle, eşitlik ilkesi müşterek sahip olduklarımız üzerinde odaklanırken, hak ediş ilkesi kendimizi nasıl farklılaştırdığımız üzerinde odaklanır. Doğru cevap A seçeneğidir. "
"Birbirinden çok farklı mesleklerin ortaya çıkması, hatta belirli bir meslek içerisinde alt
dalların oluşması, mesleklerin yeni yöntemlerle icra edilmesi anlamına gelen kavram aşağıdakilerden hangisidir?","Uzmanlaşma, birbirinden çok farklı mesleklerin ortaya çıkması, hatta belirli bir meslek içerisinde alt dalların oluşması, mesleklerin yeni yöntemlerle icra edilmesi anlamına gelir."
"I. Mesleki
II. Dini
III. Ahlaki
Lonca teşkilatı belli amaçlarla bir araya gelmiş bir kardeşlik örgütüdür. Yukarıdakilerden hangisi/hangileri bu amaçlar arasında yer alır?","Lonca teşkilatı; meslek, dini ve ahlâki bir amaç etrafında biraraya gelen bir tür kardeşlik örgütü kabul edilmektedir."
"Toplumun alt sınıflarına özgü bir etkinlik kabul edilen çalışma, hangi gelişme sonrasında tam tersine olumlu bir anlamda kullanılır olmuştur?","Tarih boyunca çoğunlukla olumsuz bir çağrışımı olan, genelde köleler gibi toplumun alt sınıflarına özgü bir etkinlik kabul edilen çalışma, özellikle Sanayi Devrimi sonrasında tam tersine olumlu bir anlamda kullanılır olmuştur. Bu yeni anlamıyla çalışma, bireylerin olağan yaşamlarını sürdürebilmeleri için gerekli mal ve eşyayı satın alma aracı olmanın yanısıra, kişisel bir değer olarak da görülür."
"Pazar adaleti olarak görülen, eşya ve hizmetlerin değiş tokuşunda geçerli olan, temelinde edim - karşı edim ilişkisinin yer aldığı bu adalet türü aşağıdakilerden hangisidir?",Diğer seçenekler denkleştirici adalete ilişkin değildir. Cevap D şıkkıdır.
Aşağıdakilerden hangisinin tesis edilmesi insan haklarının korunması için ulusal düzeyde bir koruma sağlar?,"Ulusal düzeyde insan haklarının devlete karşı korunmasında en temel güvence, kuvvetler ayrılığına, insan haklarına ve hukukun üstünlüğüne dayalı, çoğulcu-özgürlükçü ve demokratik bir iç hukuk sistemidir. Bu sistemde birbirinden ayrılmış yasama, yürütme ve yargı gibi kuvvetler birbirlerinin işleyişini insan haklarına uygunluk bakımından denetleyebilir. Doğru yanıt B seçeneğidir. "
