Soru,Cevap
Kadınların hakları için mücadelelerindeki dönüm noktaları ve bu kapsamda 8 Mart Dünya Kadınlar Gününün anlam ve önemi nedir?,"Kadınların hakları için mücadeleleri, Fransız devrimi sonrasında siyasi haklar için kitlesel kadın hareketi ile başlamıştır. 1791 yılında ise Kadın ve Yurttaş Hakları Bildirgesi kale alınmıştır, bildirgenin 1. Maddesi, “ Kadın özgür doğar ve erkeklerle haklar bakımından eşittir.” şeklindedir ve bildirgeyi okuyan devrimci kadın giyotinle idam edilmiştir. Gerekçe olarak ise “Kadın doğasına aykırı olarak kürsüye çıkmış, siyaset yapmak istemesi, bu cezanın diğer kadınlara ders olması…” gösterilmiştir. ABD’nin New York kentinde 8 Mart 1857 tarihinde 40.000 dokuma işçisi daha iyi çalışma koşulları istemiyle bir tekstil fabrikasında greve başlamış, bu grevden sonra tekstil ve tütün sanayide grevler patlak vermiş ardından 1908 de kadın işçiler tekrar grev yapmış ancak polisin işçilere saldırması ve patronların işçileri dışarıdan destek görmelerini engellemek için fabrikaya kilitlemesi, arkasından da çıkan yangında işçilerin fabrika önünde kurulan barikatlardan kaçamaması sonucunda çoğu kadın 129 işçi can vermiş, işçilerin cenaze törenine 10.000’i aşkın kişi katılmıştır bugün emekçi kadınlar günü olarak kabul edilmiş ve her yıl anılmıştır. Emekçi kadın hareketinin bizdeki bir yansıması ise 1908’de Bursa’da dokuma işçisi kadınların daha uygun çalışma koşulları için grev yapmasıyla karşılık bulmuş, Ulusun Kurtuluşu mücadelesinde Türk Kadınlarının Kastamonu mitingi,10 Aralık 1919 üç binden fazla Kastamonu’lu kadının; ülkemizin işgalini ve kadın ve çocuklara yapılan vahşeti protesto etmesi ile devam etmiştir. Bu tarihleri kadın mücadelesinin başlangıçları olarak anabiliriz."
Medeni Kanunumuza göre evlilik yaşı nedir?,Medeni Kanunumuz uyarınca evlenecek kişilerin 17 yaşını bitirmiş olmaları gerekir.
Evlenme başvurusu nerede yapılır?,Evlenme başvurusu tarafların yerleşim yerindeki Belediye Evlendirme Dairelerine yapılır.
Evlenme engelleri nelerdir?,"Medeni Kanunumuz uyarınca, kardeşler, amca, dayı, yeğen, hala, teyze arasında, boşanan eşlerden biri diğerinin altsoyu-üst soyu arasında ve evlat edinen ile evlatlık arasında evlenme yasağı bulunmaktadır."
Evlilik devam ederken birlikte yaşamaya ara veren taraf haklı nedeni varsa mahkemeden neler talep edebilir?,"Medeni Kanunumuzun 197. maddesi uyarınca; birlikte yaşamaya ara verilmesi haklı bir sebebe dayanıyorsa hâkim, eşlerden birinin istemi üzerine birinin diğerine yapacağı parasal katkıya, konut ve ev eşyasından yararlanmaya ve eşlerin mallarının yönetimine ilişkin önlemleri alır."
Evlilik devam ederken aile birliğinin devamı için gereken masraflara katılmayan eş için ne yapabilir?,"Medeni Kanunumuzun 198. Maddesi uyarınca eşlerden biri, birliğin giderlerine katılma yükümlülüğünü yerine getirmezse, hâkim onun borçlularına, ödemeyi tamamen veya kısmen diğer eşe yapmalarını emredebilir. Yine birliğin giderlerine katılma yükümlülüğünü yerine getirmeyen eşe evlilik sürerken nafaka davası açılabilir."
"Evlilik devam ederken diğer eşin, mal kaçırmaya başlaması halinde alınabilecek hukuki tedbir var mıdır?","Medeni Kanunumuzun 199. Maddesi uyarınca ailenin ekonomik varlığının korunması veya evlilik birliğinden doğan malî bir yükümlülüğün yerine getirilmesi gerektirdiği ölçüde, eşlerden birinin istemi üzerine hâkim, belirleyeceği malvarlığı değerleriyle ilgili tasarrufların ancak onun rızasıyla yapılabileceğine karar verebilir."
Aile içi şiddet hangi şekillerde tezahür eder? Aile içi şiddete uğrayan mağdurların Aile Mahkemesinden talep edebilecekleri tedbirler nelerdir?,"Aile bireyinin fiziksel, cinsel, ekonomik veya psikolojik zarar görmesiyle veya acı çekmesiyle sonuçlanması muhtemel hareketleri, buna yönelik tehdit ve baskıyı ya da özgürlüğün keyfi engellenmesini de içeren, toplumsal veya özel alanda meydana gelen fiziksel, cinsel, psikolojik, sözel ve ekonomik her türlü davranış şiddetin tezahür şekilleri olarak kabul edilmiştir."
Evlilik hangi hallerde sona erer?,"Şiddete uğrayan aile bireyin, emniyet birimlerine veya Cumhuriyet Savcılığına bildirmesi ve bu mercilerin bildirimi Aile Mahkemelerine iletmeleri sonucu hakim, 4320 sayılı Aile İçi Şiddetin Önlenmesi Hakkında Kanun uyarınca, şiddete veya korkuya yönelik söz ve davranışlarda bulunmaması, müşterek evden 6 aya kadar uzaklaştırılarak bu evin diğer aile bireylerine tahsisi ile bu bireylerin birlikte ya da ayrı oturmakta olduğu eve  veya işyerlerine yaklaşmaması, bu süre için nafaka vermesi; aile bireylerinin eşyalarına zarar vermemesi, aile bireylerini iletişim araçları ile rahatsız etmemesi, varsa silah veya benzeri araçlarını genel kolluk kuvvetlerine teslim etmesi, alkollü veya uyuşturucu herhangi bir madde kullanılmış olarak şiddet mağdurunun yaşamakta olduğu konuta veya işyerine gelmemesi veya bu yerlerde bu maddeleri kullanmaması, bir sağlık kuruluşuna muayene veya tedavi için başvurması tedbirlerinden bir veya birkaçına ve uygun göreceği benzer tedbirlere harçsız ve dosyanın esasına girmeksizin, deli toplamaksızın derhal karar verecektir."
Evliliğin yok hükmünde olduğu haller nelerdir?,"Evlilik, ölüm, boşanma kararı, gaiplik nedeniyle evlenmenin feshi, evlenmenin iptali ve evlenmenin yok hükmünde olduğu hallerde sona erer."
Evlenme şartlarında hangi eksikliklerin olması halinde hakim kararı ile evlilik hükümsüz sayılır? Bu hallerin varlığı halinde nasıl bir yol izlenmelidir?,"Evlenme sözleşmesi yoklukla malul olduğunda kendiliğinden hükümsüz olur. Medeni Kanunumuz uyarınca evliliğin yoklukla malul olduğu haller; irade beyanı yokluğu veya iradenin bizzat açıklanmaması, mümessil tarafından açıklanması, aynı cinsten olan kişilerin evlenmeleri, yetkili evlendirme memuru önünde yapılmaması halleridir. Bu hallerde evlilik birliği hiç doğmaz, taraflar evli değildirler, birbirlerine mirasçı olmazlar, doğan çocuğun soy bağı yoktur. Her zaman ileri sürülebilir."
Hangi durumlarda evliliğin nısbi butlan sebebi ile hükümsüzlüğü mahkemeden talep edilebilir?,"Butlan sebeplerinin varlığı halinde mutlaka hakimin karar vermesi gereklidir ancak bu şekilde hükümsüz hale gelir. Mutlak butlan olsa dahi hakim kararına kadar geçerli evliliğin tüm sonuçlarını doğurur. Bu haller, eşlerden birinin evlenme sırasında evli bulunması, eşlerden birinin evlenme sırasında sürekli bir sebeple ayırt etme gücünden yoksun olması, eşlerden birinde evlenmeye engel olacak derecede akıl hastalığı bulunması, eşlerden birinde evlenmeye engel olacak şekilde hısımlığın bulunması halleridir."
"Ölüm tehlikesi olan ya da kendisinden uzun süre haber alınamayan eş hakkında geride kalan eş, nasıl bir hukuki yol izlemelidir?","Evlenme şartlarında eksiklik evliliğin hakimin hükmü ile kaldırılması sonucunu doğurur. Süreye bağlı olmadan açılabilir. Cumhuriyet savcıları ve diğer ilgililer dava açabilirler. Aynı şekilde eşlerden biri, kanuni temsilcileri, vasileri, eşlerden birinin mirasçıları da dava açabilirler. Cumhuriyet Savcıları ölümle sona eren bir evliliğin iptali için dava açamazlar ama mirasçılar açabilecektir."
"Boşanma nedir, nedenleri nelerdir? Boşanma kararı nasıl kesinleşir?","Nısbi butlan davaların da ilgililerin ve Cumhuriyet Savcılarının dava açma yetkileri yoktur. Dava eşler veya ana ve baba veya vasilerinin izni alınmadan yapılan evlenmelerde kanuni temsilciler tarafından açılır. Bu haller, ayırt etme gücünün geçici olarak yoksunluğu sırasında   yapılan evlenme, yanılma evlenmeyi hiç istemediği halde veya evlendiği kişiyle evlenmeyi hiç düşünmediği halde veya eşinde bulunmaması onunla birlikte yaşamayı kendisi için çekilmez duruma sokacak derecede önemli nitelikte yanılarak evlenmişse, (şahısta ve nitelikte yanılma), aldatma, (diğer eşin namus ve onuru hakkında aldatmış olması, davacının veya altsoyunun sağlığı için ağır tehlike oluşturan bir hastalığın kendisinden gizlenmiş olması), korkutma, (kendisi veya yakınlarının sağlığı hayatı veya namusuna yönelik korkutma) halleridir. Nısbi butlan sebebinin öğrenilmesinden itibaren 6 ay her halde 5 yıl geçmekle nısbi butlan dava açma hakkı düşer."
Anlaşmalı boşanma nedir? Nasıl gerçekleşir?,"Ölüm tehlikesi ile kaybolan ve kendisinden uzun süredir haber alınamayan, ölümüne kuvvetle muhtemel bakılan kişilerin gaipliğinden söz edilir. Gaiplik kararı verilebilmesi için ölüm tehlikesi içinde kaybolmasının üzerinden bir yıl geçmiş olmalıdır."
Boşanma davası için vekalet nasıl çıkarılır?,"Gaipliğine hükmolunan kimsenin kocası veya karısı evlilik feshedilmedikçe yeniden evlenemez. Kaybolanın eşi evliliğin feshini gaiplik başvurusu ile birlikte veya açacağı bir dava ile isteyebilir. Ayrı bir dava ile evliliğin feshi, davacının yerleşim yeri mahkemesinden açacağı bir dava ile isteyebilir. Kararı alınca nüfus idaresine müracaatla evliliğin feshinin tescilini ister. Gaiplik kararı ile birlikte evliliğin feshi istenmiş ise bu taktirde yetkili mahkeme kişinin Türkiye’deki son yerleşim yeri, nüfus siciline kayıtlı olduğu yer, anasının veya babasının kayıtlı bulunduğu yer mahkemesidir."
Boşanma davası hangi mahkemede açılır?,"Kanunda yazılı sebeplere dayanarak eşlerden birinin açtığı dava üzerine evlilik birliğinin hakimin kararı ile sona erdirilmesidir. Özel boşanma nedenleri, zina sebebi ile boşanma, hayata kast pek kötü veya onur kırıcı muamele, küçük düşürücü suç veya suç işleme kastı ile haysiyetsiz yaşam sürme, terk sebebi ile boşanma davaları, akıl hastalığı sebebi ile boşanma davaları, genel boşanma nedenleri ise; evlilik birliğinin temelinden sarsılması, ayrılık süresinin bitimi halinde evlilik birliğinin sona ermesi   ve anlaşmalı boşanma halleridir."
